TRIP_NUMBER,HAUL_NUMBER,ALPHA_SPECIES_CODE,LENGTH_MEASUREMENT_ONE,LENGTH_MEASUREMENT_TWO,LENGTH_TYPE_ONE,LENGTH_TYPE_TWO,LENGTH_MEASUREMENT_TAKEN_CODE,SEX,COMMENTS,Non-Confidential Area,Non-Confidential Date Range
M08023,2,YFT,150,,UPPER JAW FORK OF TAIL,,1,2,YFTFC61,GOM,Jun/ Jul-19
M08023,3,YFT,147,,UPPER JAW FORK OF TAIL,,1,1,YFTFC62,GOM,Jun/ Jul-19
M08023,3,YFT,145,,UPPER JAW FORK OF TAIL,,1,2,YFTFC63,GOM,Jun/ Jul-19
M08023,3,YFT,153,,UPPER JAW FORK OF TAIL,,1,2,YFTFC64,GOM,Jun/ Jul-19
M08023,4,YFT,142,,UPPER JAW FORK OF TAIL,,1,0,YFTFC65,GOM,Jun/ Jul-19
M08023,4,YFT,147,,UPPER JAW FORK OF TAIL,,1,2,YFTFC66,GOM,Jun/ Jul-19
M08023,9,YFT,132,,UPPER JAW FORK OF TAIL,,1,2,YFTFC67,GOM,Jun/ Jul-19
M08023,10,YFT,155,,UPPER JAW FORK OF TAIL,,1,1,YFTFC68,GOM,Jun/ Jul-19
M08023,10,YFT,155,,UPPER JAW FORK OF TAIL,,1,1,YFTFC69,GOM,Jun/ Jul-19
M08023,10,YFT,153,,UPPER JAW FORK OF TAIL,,1,1,YFTFC70,GOM,Jun/ Jul-19
E05062,1,YFT,135,,UPPER JAW FORK OF TAIL,,1,2,YFTFC4,GOM,Jun/ Jul-19
E05062,1,YFT,134,,UPPER JAW FORK OF TAIL,,1,2,YFTFC5,GOM,Jun/ Jul-19
E05062,1,YFT,139,,UPPER JAW FORK OF TAIL,,1,2,YFTFC6,GOM,Jun/ Jul-19
E05062,1,YFT,130,,UPPER JAW FORK OF TAIL,,1,1,YFTFC7,GOM,Jun/ Jul-19
E05062,1,YFT,143,,UPPER JAW FORK OF TAIL,,1,1,YFTFC8,GOM,Jun/ Jul-19
E05062,2,YFT,124,,UPPER JAW FORK OF TAIL,,1,2,YFTFC10,GOM,Jun/ Jul-19
E05062,2,YFT,140,,UPPER JAW FORK OF TAIL,,1,1,YFTFC11,GOM,Jun/ Jul-19
E05062,2,YFT,164,,UPPER JAW FORK OF TAIL,,1,1,"YFTFC12, 2 PHOTOS",GOM,Jun/ Jul-19
E05062,2,YFT,122,,UPPER JAW FORK OF TAIL,,1,2,YFTFC13,GOM,Jun/ Jul-19
E05062,2,YFT,132,,UPPER JAW FORK OF TAIL,,1,2,YFTFC14,GOM,Jun/ Jul-19
E05062,2,YFT,139,,UPPER JAW FORK OF TAIL,,1,1,YFTFC9,GOM,Jun/ Jul-19
E05062,3,YFT,133,,UPPER JAW FORK OF TAIL,,1,2,YFTFC15,GOM,Jun/ Jul-19
E05062,4,YFT,140,,UPPER JAW FORK OF TAIL,,1,1,YFTFC16,GOM,Jun/ Jul-19
E05062,4,YFT,136,,UPPER JAW FORK OF TAIL,,1,1,YFTFC17,GOM,Jun/ Jul-19
E05062,4,YFT,141,,UPPER JAW FORK OF TAIL,,1,1,YFTFC18,GOM,Jun/ Jul-19
E05062,4,YFT,141,,UPPER JAW FORK OF TAIL,,1,1,YFTFC19,GOM,Jun/ Jul-19
E05062,5,YFT,155,,UPPER JAW FORK OF TAIL,,1,1,YFTFC20,GOM,Jun/ Jul-19
E05062,5,YFT,137,,UPPER JAW FORK OF TAIL,,1,1,YFTFC21,GOM,Jun/ Jul-19
E05062,5,YFT,129,,UPPER JAW FORK OF TAIL,,1,1,YFTFC22,GOM,Jun/ Jul-19
E05062,5,YFT,146,,UPPER JAW FORK OF TAIL,,1,1,YFTFC23,GOM,Jun/ Jul-19
E05062,5,YFT,142,,UPPER JAW FORK OF TAIL,,1,1,YFTFC24,GOM,Jun/ Jul-19
E05062,5,YFT,144,,UPPER JAW FORK OF TAIL,,1,1,YFTFC25,GOM,Jun/ Jul-19
E05062,5,YFT,124,,UPPER JAW FORK OF TAIL,,1,2,YFTFC26,GOM,Jun/ Jul-19
E05062,5,YFT,138,,UPPER JAW FORK OF TAIL,,1,1,YFTFC27,GOM,Jun/ Jul-19
E05062,7,YFT,134,,UPPER JAW FORK OF TAIL,,1,2,YFTFC28,GOM,Jun/ Jul-19
E05062,8,YFT,146,,UPPER JAW FORK OF TAIL,,1,2,YFTFC29,GOM,Jun/ Jul-19
E05062,8,YFT,136,,UPPER JAW FORK OF TAIL,,1,1,YFTFC30,GOM,Jun/ Jul-19
E05062,9,YFT,131,,UPPER JAW FORK OF TAIL,,1,1,YFTFC31,GOM,Jun/ Jul-19
E05062,9,YFT,134,,UPPER JAW FORK OF TAIL,,1,2,YFTFC32,GOM,Jun/ Jul-19
E05062,9,YFT,127,,UPPER JAW FORK OF TAIL,,1,2,YFTFC33,GOM,Jun/ Jul-19
R07057,2,YFT,121,,UPPER JAW FORK OF TAIL,,1,2,YFTFC1001,GOM,Oct/ Nov-19
R07057,2,YFT,121,,UPPER JAW FORK OF TAIL,,1,2,YFTFC1002,GOM,Oct/ Nov-19
R07057,3,YFT,145,,UPPER JAW FORK OF TAIL,,1,2,YFTFC1003,GOM,Oct/ Nov-19
R07057,4,YFT,146,,UPPER JAW FORK OF TAIL,,1,2,YFTFC1004,GOM,Oct/ Nov-19
R07057,4,YFT,157,,UPPER JAW FORK OF TAIL,,1,2,YFTFC1005,GOM,Oct/ Nov-19
R07057,5,YFT,143,,UPPER JAW FORK OF TAIL,,1,1,YFTFC1006,GOM,Oct/ Nov-19
R07057,5,YFT,144,,UPPER JAW FORK OF TAIL,,1,2,YFTFC1007,GOM,Oct/ Nov-19
R07057,5,YFT,150,,UPPER JAW FORK OF TAIL,,1,1,YFTFC1008,GOM,Oct/ Nov-19
R07057,5,YFT,140,,UPPER JAW FORK OF TAIL,,1,1,YFTFC1009,GOM,Oct/ Nov-19
R07057,6,YFT,121,,UPPER JAW FORK OF TAIL,,1,1,YFTFC1010,GOM,Oct/ Nov-19
R07057,6,YFT,148,,UPPER JAW FORK OF TAIL,,1,1,YFTFC1011,GOM,Oct/ Nov-19
R07057,6,YFT,147,,UPPER JAW FORK OF TAIL,,1,2,YFTFC1012,GOM,Oct/ Nov-19
R07057,6,YFT,142,,UPPER JAW FORK OF TAIL,,1,2,YFTFC1013,GOM,Oct/ Nov-19
R07057,7,YFT,139,,UPPER JAW FORK OF TAIL,,1,2,YFTFC1014,GOM,Oct/ Nov-19
R07057,7,YFT,131,,UPPER JAW FORK OF TAIL,,1,1,YFTFC1015,GOM,Oct/ Nov-19
E07036,6,YFT,82,,UPPER JAW FORK OF TAIL,,1,0,YFTFCA042,MAB,Apr-19
E07036,6,YFT,86,,UPPER JAW FORK OF TAIL,,1,0,YFTFCA043,MAB,Apr-19
E07036,6,YFT,92,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA044,MAB,Apr-19
E07036,6,YFT,89,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA045,MAB,Apr-19
E07036,6,YFT,92,,UPPER JAW FORK OF TAIL,,1,0,YFTFCA046,MAB,Apr-19
E07036,6,YFT,87,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA047,MAB,Apr-19
E07036,6,YFT,80,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA048,MAB,Apr-19
E07036,6,YFT,113,,UPPER JAW FORK OF TAIL,,1,2,YFTFCA049,MAB,Apr-19
E07036,6,YFT,97,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA050,MAB,Apr-19
E07036,6,YFT,98,,UPPER JAW FORK OF TAIL,,1,2,YFTFCA051,MAB,Apr-19
E07036,6,YFT,97,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA052,MAB,Apr-19
E07036,6,YFT,90,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA053,MAB,Apr-19
E07036,6,YFT,95,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA054,MAB,Apr-19
E07036,6,YFT,87,,UPPER JAW FORK OF TAIL,,1,0,YFTFCA055,MAB,Apr-19
E07036,6,YFT,98,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA056,MAB,Apr-19
E07036,6,YFT,98,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA057,MAB,Apr-19
E07036,6,YFT,101,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA058,MAB,Apr-19
E07036,6,YFT,95,,UPPER JAW FORK OF TAIL,,1,2,YFTFCA059,MAB,Apr-19
E07036,6,YFT,115,,UPPER JAW FORK OF TAIL,,1,2,YFTFCA060,MAB,Apr-19
E07036,6,YFT,114,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA061,MAB,Apr-19
E07036,6,YFT,92,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA062,MAB,Apr-19
E07036,6,YFT,86,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA063,MAB,Apr-19
E07036,6,YFT,94,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA064,MAB,Apr-19
E07036,7,YFT,80,,UPPER JAW FORK OF TAIL,,1,0,YFTFCA065,MAB,Apr-19
E07036,7,YFT,94,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA066,MAB,Apr-19
E07036,7,YFT,97,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA067,MAB,Apr-19
E07036,7,YFT,95,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA068,MAB,Apr-19
E07036,7,YFT,101,,UPPER JAW FORK OF TAIL,,1,2,YFTFCA069,MAB,Apr-19
E07036,7,YFT,82,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA070,MAB,Apr-19
E07036,7,YFT,93,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA071,MAB,Apr-19
E07036,7,YFT,94,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA072,MAB,Apr-19
E07036,7,YFT,98,,UPPER JAW FORK OF TAIL,,1,2,YFTFCA073,MAB,Apr-19
E07036,7,YFT,94,,UPPER JAW FORK OF TAIL,,1,0,YFTFCA074,MAB,Apr-19
E07036,7,YFT,87,,UPPER JAW FORK OF TAIL,,1,0,YFTFCA075,MAB,Apr-19
E07036,7,YFT,105,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA076,MAB,Apr-19
E07036,7,YFT,91,,UPPER JAW FORK OF TAIL,,1,0,YFTFCA077,MAB,Apr-19
E07036,7,YFT,106,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA078,MAB,Apr-19
E07036,7,YFT,103,,UPPER JAW FORK OF TAIL,,1,2,YFTFCA079,MAB,Apr-19
E07036,7,YFT,104,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA080,MAB,Apr-19
E07036,7,YFT,83,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA081,MAB,Apr-19
I07038,2,YFT,,69,,PECTORAL FIN TO TAIL FORK,1,1,YFTFCB18,MAB,May-19
I07038,2,YFT,103,,UPPER JAW FORK OF TAIL,,1,2,YFTFCB19,MAB,May-19
I07038,2,YFT,,67,,PECTORAL FIN TO TAIL FORK,1,1,YFTFCB20,MAB,May-19
I07038,2,YFT,73,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB21,MAB,May-19
I07038,2,YFT,78,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB22,MAB,May-19
I07038,2,YFT,98,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB23,MAB,May-19
I07038,2,YFT,,91,,PECTORAL FIN TO TAIL FORK,1,2,YFTFCB24,MAB,May-19
I07038,2,YFT,,90,,PECTORAL FIN TO TAIL FORK,1,2,YFTFCB25,MAB,May-19
I07038,2,YFT,110,,UPPER JAW FORK OF TAIL,,1,2,YFTFCB26,MAB,May-19
I07038,2,YFT,,60,,PECTORAL FIN TO TAIL FORK,1,2,YFTFCB27,MAB,May-19
I07038,2,YFT,,63,,PECTORAL FIN TO TAIL FORK,1,1,YFTFCB28,MAB,May-19
I07038,2,YFT,81,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB29,MAB,May-19
I07038,2,YFT,,53,,PECTORAL FIN TO TAIL FORK,1,1,YFTFCB30,MAB,May-19
I07038,2,YFT,,63,,PECTORAL FIN TO TAIL FORK,1,1,YFTFCB31,MAB,May-19
I07038,2,YFT,,56,,PECTORAL FIN TO TAIL FORK,1,2,YFTFCB32,MAB,May-19
I07038,2,YFT,,66,,PECTORAL FIN TO TAIL FORK,1,2,YFTFCB33,MAB,May-19
I07038,2,YFT,,70,,PECTORAL FIN TO TAIL FORK,1,1,YFTFCB34,MAB,May-19
I07038,2,YFT,106,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB35,MAB,May-19
I07038,2,YFT,,77,,PECTORAL FIN TO TAIL FORK,1,2,YFTFCB36,MAB,May-19
I07038,2,YFT,,73,,PECTORAL FIN TO TAIL FORK,1,1,YFTFCB37,MAB,May-19
I07038,2,YFT,,75,,PECTORAL FIN TO TAIL FORK,1,1,YFTFCB38,MAB,May-19
I07038,2,YFT,,56,,PECTORAL FIN TO TAIL FORK,1,2,YFTFCB39,MAB,May-19
I07038,2,YFT,,70,,PECTORAL FIN TO TAIL FORK,1,2,YFTFCB40,MAB,May-19
I07038,4,YFT,,73,,PECTORAL FIN TO TAIL FORK,1,2,YFTFCB12,MAB,May-19
I07038,4,YFT,,68,,PECTORAL FIN TO TAIL FORK,1,2,YFTFCB13,MAB,May-19
I07038,4,YFT,,61,,PECTORAL FIN TO TAIL FORK,1,1,YFTFCB14,MAB,May-19
I07038,4,YFT,,82,,PECTORAL FIN TO TAIL FORK,1,2,YFTFCB15,MAB,May-19
I07038,4,YFT,,87,,PECTORAL FIN TO TAIL FORK,1,1,YFTFCB16,MAB,May-19
I07038,4,YFT,,88,,PECTORAL FIN TO TAIL FORK,1,1,YFTFCB17,MAB,May-19
C07019,1,YFT,81,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB70,MAB/ SAB,Jun-19
C07019,1,YFT,92,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB71,MAB/ SAB,Jun-19
C07019,1,YFT,75,,UPPER JAW FORK OF TAIL,,1,2,YFTFCB72,MAB/ SAB,Jun-19
C07019,1,YFT,85,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB73,MAB/ SAB,Jun-19
C07019,1,YFT,72,,UPPER JAW FORK OF TAIL,,1,0,YFTFCB74,MAB/ SAB,Jun-19
C07019,1,YFT,88,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB75,MAB/ SAB,Jun-19
C07019,1,YFT,78,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB76,MAB/ SAB,Jun-19
C07019,1,YFT,87,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB77,MAB/ SAB,Jun-19
C07019,1,YFT,82,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB78,MAB/ SAB,Jun-19
C07019,1,YFT,89,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB79,MAB/ SAB,Jun-19
C07019,1,YFT,84,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB80,MAB/ SAB,Jun-19
C07019,1,YFT,86,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB81,MAB/ SAB,Jun-19
C07019,2,YFT,122,,UPPER JAW FORK OF TAIL,,1,0,YFTFCB54,MAB/ SAB,Jun-19
C07019,2,YFT,99,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB55,MAB/ SAB,Jun-19
C07019,2,YFT,121,,UPPER JAW FORK OF TAIL,,1,0,YFTFCB56,MAB/ SAB,Jun-19
C07019,2,YFT,103,,UPPER JAW FORK OF TAIL,,1,2,YFTFCB57,MAB/ SAB,Jun-19
C07019,2,YFT,124,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB58,MAB/ SAB,Jun-19
C07019,2,YFT,,61,,PECTORAL FIN TO TAIL FORK,1,2,YFTFCB59,MAB/ SAB,Jun-19
C07019,2,YFT,,70,,PECTORAL FIN TO TAIL FORK,1,2,YFTFCB60,MAB/ SAB,Jun-19
C07019,2,YFT,100,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB61,MAB/ SAB,Jun-19
C07019,2,YFT,100,,UPPER JAW FORK OF TAIL,,1,2,YFTFCB62,MAB/ SAB,Jun-19
C07019,2,YFT,,76,,PECTORAL FIN TO TAIL FORK,1,1,YFTFCB63,MAB/ SAB,Jun-19
C07019,2,YFT,,72,,PECTORAL FIN TO TAIL FORK,1,1,YFTFCB64,MAB/ SAB,Jun-19
C07019,2,YFT,76,,UPPER JAW FORK OF TAIL,,1,2,YFTFCB65,MAB/ SAB,Jun-19
C07019,2,YFT,118,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB66,MAB/ SAB,Jun-19
C07019,2,YFT,114,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB67,MAB/ SAB,Jun-19
C07019,2,YFT,97,,UPPER JAW FORK OF TAIL,,1,2,YFTFCB68,MAB/ SAB,Jun-19
C07019,2,YFT,111,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB69,MAB/ SAB,Jun-19
C07019,3,YFT,88,,UPPER JAW FORK OF TAIL,,1,2,YFTFCB43,MAB/ SAB,Jun-19
C07019,3,YFT,89,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB44,MAB/ SAB,Jun-19
C07019,3,YFT,96,,UPPER JAW FORK OF TAIL,,1,2,YFTFCB45,MAB/ SAB,Jun-19
C07019,3,YFT,103,,UPPER JAW FORK OF TAIL,,1,2,YFTFCB46,MAB/ SAB,Jun-19
C07019,3,YFT,75,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB47,MAB/ SAB,Jun-19
C07019,3,YFT,93,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB48,MAB/ SAB,Jun-19
C07019,3,YFT,78,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB49,MAB/ SAB,Jun-19
C07019,3,BFT,240,,UPPER JAW FORK OF TAIL,,3,0,YFTFCB50,MAB/ SAB,Jun-19
C07019,3,YFT,100,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB51,MAB/ SAB,Jun-19
C07019,3,YFT,98,,UPPER JAW FORK OF TAIL,,1,2,YFTFCB52,MAB/ SAB,Jun-19
C07019,3,YFT,107,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB53,MAB/ SAB,Jun-19
C07019,5,YFT,115,,UPPER JAW FORK OF TAIL,,1,2,YFTFCB41,MAB/ SAB,Jun-19
C07019,5,YFT,108,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB42,MAB/ SAB,Jun-19
R07052,2,YFT,101,,UPPER JAW FORK OF TAIL,,1,2,YFTFCA016,MAB,Jul-19
R07052,3,YFT,145,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA017,MAB,Jul-19
R07052,3,YFT,111,,UPPER JAW FORK OF TAIL,,1,2,YFTFCA018,MAB,Jul-19
R07052,3,YFT,104,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA019,MAB,Jul-19
R07052,3,YFT,122,,UPPER JAW FORK OF TAIL,,1,2,YFTFCA020,MAB,Jul-19
R07052,3,YFT,117,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA021,MAB,Jul-19
I07040,2,YFT,,85,,PECTORAL FIN TO TAIL FORK,1,2,YFTFCB01,MAB,Jul-19
I07040,2,YFT,,92,,PECTORAL FIN TO TAIL FORK,1,1,YFTFCB02,MAB,Jul-19
I07040,2,YFT,,89,,PECTORAL FIN TO TAIL FORK,1,1,YFTFCB03,MAB,Jul-19
I07040,2,YFT,113,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB04,MAB,Jul-19
I07040,2,YFT,,73,,PECTORAL FIN TO TAIL FORK,1,1,YFTFCB05,MAB,Jul-19
I07040,2,YFT,103,,UPPER JAW FORK OF TAIL,,1,2,YFTFCB06,MAB,Jul-19
I07040,2,YFT,109,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB07,MAB,Jul-19
I07040,2,YFT,107,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB08,MAB,Jul-19
I07040,2,YFT,100,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB09,MAB,Jul-19
I07040,2,YFT,98,,UPPER JAW FORK OF TAIL,,1,1,YFTFCB10,MAB,Jul-19
R07052,4,YFT,98,,UPPER JAW FORK OF TAIL,,1,2,YFTFCA022,MAB,Jul-19
R07052,4,YFT,94,,UPPER JAW FORK OF TAIL,,1,1,"YFTFCA023, KEPT FOR PERSONAL USE",MAB,Jul-19
R07052,4,YFT,113,,UPPER JAW FORK OF TAIL,,1,2,YFTFCA024,MAB,Jul-19
R07052,4,YFT,105,,UPPER JAW FORK OF TAIL,,1,2,YFTFCA025,MAB,Jul-19
R07052,4,YFT,115,,UPPER JAW FORK OF TAIL,,1,2,YFTFCA026,MAB,Jul-19
R07052,4,YFT,104,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA027,MAB,Jul-19
R07052,4,YFT,108,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA028,MAB,Jul-19
R07052,5,YFT,108,,UPPER JAW FORK OF TAIL,,1,2,YFTFCA029,MAB,Jul-19
R07052,5,YFT,97,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA030,MAB,Jul-19
R07052,5,YFT,104,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA031,MAB,Jul-19
R07052,5,YFT,116,,UPPER JAW FORK OF TAIL,,1,2,YFTFCA032,MAB,Jul-19
R07052,5,YFT,98,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA033,MAB,Jul-19
R07052,5,YFT,94,,UPPER JAW FORK OF TAIL,,1,1,"YFTFCA034, KEPT FOR PERSONAL USE",MAB,Jul-19
R07052,5,YFT,105,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA035,MAB,Jul-19
R07052,5,YFT,114,,UPPER JAW FORK OF TAIL,,1,2,YFTFCA036,MAB,Jul-19
R07052,5,YFT,111,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA037,MAB,Jul-19
R07052,6,YFT,122,,UPPER JAW FORK OF TAIL,,1,2,YFTFCA038,MAB,Jul-19
R07052,6,YFT,128,,UPPER JAW FORK OF TAIL,,1,2,YFTFCA039,MAB,Jul-19
R07052,6,YFT,148,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA040,MAB,Jul-19
E07036,4,YFT,142,,UPPER JAW FORK OF TAIL,,1,1,YFTFCA041,SAB,Apr-19
